runner_dir,model,experiment_axis,scale_group,dataset,run_count,success_count,latest_success_run,missing_files,status
姚怀宇_light_laptop,xgboost,feature_scale,F2_20_100,mfeat-zernike_2000rows_47feat_multiclass,1,1,run_20260616_003150,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_003155,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_003455,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_004908,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F3_100_300,mfeat-factors_2000rows_216feat_multiclass,1,1,run_20260616_004913,,complete
姚怀宇_light_laptop,tabicl,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_004919,,complete
姚怀宇_light_laptop,tabpfn,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_005235,,complete
姚怀宇_light_laptop,lightgbm,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_010541,,complete
姚怀宇_light_laptop,xgboost,feature_scale,F3_100_300,mfeat-pixel_2000rows_240feat_multiclass,1,1,run_20260616_010545,,complete
姚怀宇_light_laptop,tabicl,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010549,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010614,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010745,,complete
姚怀宇_light_laptop,xgboost,sample_scale,A_1000_3000,kc1_2109rows_21feat_binclass,1,1,run_20260616_010747,,complete
姚怀宇_light_laptop,tabicl,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010749,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010804,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010846,,complete
姚怀宇_light_laptop,xgboost,sample_scale,A_1000_3000,pc1_1109rows_21feat_binclass,1,1,run_20260616_010849,,complete
姚怀宇_light_laptop,tabicl,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_010851,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_011034,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_011944,,complete
姚怀宇_light_laptop,xgboost,sample_scale,B_3000_10000,ringnorm_7400rows_20feat_binclass,1,1,run_20260616_011947,,complete
姚怀宇_light_laptop,tabicl,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_011949,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_012052,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_012612,,complete
姚怀宇_light_laptop,xgboost,sample_scale,B_3000_10000,sylvine_5124rows_20feat_binclass,1,1,run_20260616_012615,,complete
姚怀宇_light_laptop,tabicl,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_012618,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_014558,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_041352,,complete
姚怀宇_light_laptop,xgboost,sample_scale,C_10000_30000,default_of_credit_card_clients_30000rows_23feat_binclass,1,1,run_20260616_041402,,complete
姚怀宇_light_laptop,tabicl,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_041412,,complete
姚怀宇_light_laptop,tabpfn,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_041713,,complete
姚怀宇_light_laptop,lightgbm,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_043601,,complete
姚怀宇_light_laptop,xgboost,sample_scale,C_10000_30000,jm1_10885rows_21feat_binclass,1,1,run_20260616_043604,,complete
