model,dataset,experiment_axis,scale_group,metric,mean,std,min,max,relative_std,n_runs
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,mean_confidence,0.9859393009465112,0.0,0.9859393009465112,0.9859393009465112,0.0,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,correct_mean_confidence,0.9947027435789728,0.0,0.9947027435789728,0.9947027435789728,0.0,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,wrong_mean_confidence,0.7610109400466687,0.0,0.7610109400466687,0.7610109400466687,0.0,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,confidence_gap,0.2336918035323041,0.0,0.2336918035323041,0.2336918035323041,0.0,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,fit_time_seconds,2.183939599994119,1.320684124169783,1.250074899988249,3.117804299999989,0.6047255721602097,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,predict_time_seconds,0.01948735000723895,0.011600016024717342,0.0112849000142887,0.0276898000001892,0.5952587714803856,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,wall_time_seconds,2.4494739000160735,1.1985597119603097,1.6019642000319436,3.2969836000002037,0.4893131181975218,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,seconds_per_test_sample,4.87183750180975e-05,2.900004006179345e-05,2.821225003572181e-05,6.92245000004732e-05,0.5952587714803861,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,peak_memory_mb,195.01171875,13.827252135233817,185.234375,204.7890625,0.07090472420767696,2
lightgbm,mfeat-pixel_2000rows_240feat_multiclass,feature_scale,F3_100_300,training_throughput,215172.59657091898,130120.37157454698,123163.59946004352,307181.5936817944,0.6047255721602098,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,accuracy,0.77,0.0,0.77,0.77,0.0,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,balanced_accuracy,0.7699999999999999,0.0,0.7699999999999999,0.7699999999999999,0.0,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,macro_f1,0.775125536874906,0.0,0.775125536874906,0.775125536874906,0.0,2
lightgbm,mfeat-zernike_2000rows_47feat_multiclass,feature_scale,F2_20_100,mean_confidence,0.9431786429773212,0.0,0.9431786429773212,0.9431786429773212,0.0,2
